GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
analysis,soot,SootHelper,13,173,2,6,2,35,3,6,1,4
analysis,ch.ethz.rse,VerificationProperty,0,34,0,0,0,2,0,1,0,1
analysis,ch.ethz.rse.pointer,TrainStationInitializer,18,32,0,0,3,11,3,4,3,4
analysis,ch.ethz.rse.pointer,P2SetCollector,0,17,0,0,0,5,0,3,0,3
analysis,ch.ethz.rse.pointer,PointsToInitializer,0,219,1,19,0,50,1,14,0,5
analysis,ch.ethz.rse.pointer,PointsToAnalysisWrapper,0,24,0,0,0,7,0,2,0,2
analysis,ch.ethz.rse.verify,CallToArrive,15,0,0,0,6,0,1,0,1,0
analysis,ch.ethz.rse.verify,EnvironmentGenerator,0,64,0,4,0,15,0,4,0,2
analysis,ch.ethz.rse.verify,Verifier,14,603,3,41,9,123,3,25,0,6
analysis,ch.ethz.rse.verify,ClassToVerify,19,50,2,2,4,13,4,4,2,4
analysis,ch.ethz.rse.verify,AVerifier,6,17,1,3,1,5,1,4,0,2
analysis,ch.ethz.rse.numerical,NumericalAnalysis,452,1695,41,99,72,301,36,52,2,16
analysis,ch.ethz.rse.numerical,IntegerWrapper,0,6,0,0,0,3,0,1,0,1
analysis,ch.ethz.rse.numerical,NumericalStateWrapper,102,186,3,7,28,33,6,14,3,12
analysis,ch.ethz.rse.utils,Configuration,24,58,3,3,7,18,3,7,0,7
analysis,ch.ethz.rse.utils,FileUtilsWrapper,29,0,0,0,9,0,3,0,3,0
analysis,ch.ethz.rse.utils,Constants,3,0,0,0,1,0,1,0,1,0
