label comparison expected actual
Basic_Test_Safe:TRACK_NON_NEGATIVE CORRECT SAFE SAFE
Basic_Test_Safe:TRACK_IN_RANGE CORRECT SAFE SAFE
Basic_Test_Safe:NO_CRASH CORRECT SAFE SAFE
Basic_Test_Unsafe:TRACK_NON_NEGATIVE CORRECT UNSAFE UNSAFE
Basic_Test_Unsafe:TRACK_IN_RANGE CORRECT UNSAFE UNSAFE
Basic_Test_Unsafe:NO_CRASH CORRECT UNSAFE UNSAFE
Moodle_Test_1:TRACK_NON_NEGATIVE CORRECT SAFE SAFE
Moodle_Test_1:TRACK_IN_RANGE CORRECT SAFE SAFE
Moodle_Test_1:NO_CRASH CORRECT SAFE SAFE
Moodle_Test_10:TRACK_NON_NEGATIVE CORRECT SAFE SAFE
Moodle_Test_10:TRACK_IN_RANGE CORRECT SAFE SAFE
Moodle_Test_10:NO_CRASH CORRECT UNSAFE UNSAFE
Moodle_Test_11:TRACK_NON_NEGATIVE CORRECT SAFE SAFE
Moodle_Test_11:TRACK_IN_RANGE CORRECT SAFE SAFE
Moodle_Test_11:NO_CRASH CORRECT UNSAFE UNSAFE
Moodle_Test_2:TRACK_NON_NEGATIVE CORRECT SAFE SAFE
Moodle_Test_2:TRACK_IN_RANGE CORRECT SAFE SAFE
Moodle_Test_2:NO_CRASH CORRECT SAFE SAFE
Moodle_Test_3:TRACK_NON_NEGATIVE IMPRECISE SAFE UNSAFE
Moodle_Test_3:TRACK_IN_RANGE CORRECT SAFE SAFE
Moodle_Test_3:NO_CRASH CORRECT UNSAFE UNSAFE
Moodle_Test_4:TRACK_NON_NEGATIVE CORRECT SAFE SAFE
Moodle_Test_4:TRACK_IN_RANGE CORRECT SAFE SAFE
Moodle_Test_4:NO_CRASH CORRECT UNSAFE UNSAFE
Moodle_Test_5:TRACK_NON_NEGATIVE CORRECT SAFE SAFE
Moodle_Test_5:TRACK_IN_RANGE CORRECT SAFE SAFE
Moodle_Test_5:NO_CRASH IMPRECISE SAFE UNSAFE
Moodle_Test_6:TRACK_NON_NEGATIVE CORRECT SAFE SAFE
Moodle_Test_6:TRACK_IN_RANGE CORRECT SAFE SAFE
Moodle_Test_6:NO_CRASH IMPRECISE SAFE UNSAFE
Moodle_Test_7:TRACK_NON_NEGATIVE CORRECT SAFE SAFE
Moodle_Test_7:TRACK_IN_RANGE CORRECT SAFE SAFE
Moodle_Test_7:NO_CRASH IMPRECISE SAFE UNSAFE
Moodle_Test_8:TRACK_NON_NEGATIVE CORRECT SAFE SAFE
Moodle_Test_8:TRACK_IN_RANGE CORRECT SAFE SAFE
Moodle_Test_8:NO_CRASH IMPRECISE SAFE UNSAFE
Moodle_Test_9:TRACK_NON_NEGATIVE CORRECT SAFE SAFE
Moodle_Test_9:TRACK_IN_RANGE IMPRECISE SAFE UNSAFE
Moodle_Test_9:NO_CRASH CORRECT UNSAFE UNSAFE
No_Crash_Safe:TRACK_NON_NEGATIVE CORRECT SAFE SAFE
No_Crash_Safe:TRACK_IN_RANGE CORRECT SAFE SAFE
No_Crash_Safe:NO_CRASH CORRECT SAFE SAFE
Non_Negative_Safe:TRACK_NON_NEGATIVE CORRECT SAFE SAFE
Non_Negative_Safe:TRACK_IN_RANGE CORRECT UNSAFE UNSAFE
Non_Negative_Safe:NO_CRASH CORRECT SAFE SAFE
Non_Negative_Unsafe:TRACK_NON_NEGATIVE CORRECT UNSAFE UNSAFE
Non_Negative_Unsafe:TRACK_IN_RANGE CORRECT SAFE SAFE
Non_Negative_Unsafe:NO_CRASH CORRECT SAFE SAFE
Numerical_Test:TRACK_NON_NEGATIVE CORRECT SAFE SAFE
Numerical_Test:TRACK_IN_RANGE CORRECT SAFE SAFE
Numerical_Test:NO_CRASH CORRECT UNSAFE UNSAFE
